assetId,subjectId,editionIds,levelIds,externalId,assetTypeId,assetActivityTypeId,displayName,curriculumTreeDisplayName,description,locales,audiences,visibility,isAssignable,isResource,publishedBy,widgetFilePath
e3f57fd2fe9807bbb3f53a4173337beb8d3d7770,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T01_L01.json,INFO-WIDGET,,A Picture Is Worth a Thousand Words: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T01_L01.json
fc9e405c6e567404aa58c6c2d81a85480f1aa5be,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T01_L02.json,INFO-WIDGET,,A Sort of Sorts: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T01_L02.json
492a1567f7664b9d27ba843f93041a1c33cd853f,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T01_L03.json,INFO-WIDGET,,F of X: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T01_L03.json
bc144152014adc617f2cf590bcba9c9859a765bb,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T01_L04.json,INFO-WIDGET,,Re-Engaging with Domain and Range: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T01_L04.json
c97ef54d96cc2fae8de2aff8f7958ee5449a8abb,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T01_L05.json,INFO-WIDGET,,"Function Families for 200, Alex: Lesson Overview",Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T01_L05.json
1d2856964d5ad9442e3cf1bbb4bc60fc01b85aaf,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T01_L06.json,INFO-WIDGET,,Re-Engaging with Key Features of Graphs: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T01_L06.json
c4957c2e5bf41d0863d68541687e8feb9b79f069,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T02_L01.json,INFO-WIDGET,,Is There a Pattern Here?: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T02_L01.json
9e9eede2fda73affe5de0044d2483f41ee918a05,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T02_L02.json,INFO-WIDGET,,The Password Is .​ . . Operations!: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T02_L02.json
af4d238cb0b32364417ddb18d36cb3a62bc312ed,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T02_L03.json,INFO-WIDGET,,Re-Engaging with Recursive Formulas for Sequences: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T02_L03.json
c65686a031098d5721556bf5a559a6cdd1eaea73,MATH,"[""BUILD_CA-MATH"",""CA-MATH612-2025-ALG1-TE"",""CA-MATH612-2025-1e-ALG1-TE"",""DEMO_CA-MATH612-2025-ALG1-TE""]","[""ALG1""]",CA_SM5e_A1_M01_T02_L04.json,INFO-WIDGET,,Did You Mean: Recursion?: Lesson Overview,Lesson Overview,"A quick overview of the lesson including Learning Goals, Pacing Guide, Key Terms, Materials, Facilitation Guidance and Essential Ideas","[""en""]","[""TCH""]",global,,TRUE,CL,resources/lesson-overview/CA_SM5e_A1_M01_T02_L04.json
